Bit Rate,Tx-Power,Retry short limit,RTS thr,Fragment thr,Rx invalid nwid,Rx invalid crypt,Rx invalid frag,Invalid misc,Missed beacon,Frequency,Channel,Encryption key,inactive time,authorized,authenticated,associated,WMM/WME,TDLS peer,DTIM period,beacon interval,short slot time,connection.autoconnect,connection.autoconnect-priority,connection.autoconnect-retries,connection.multi-connect,connection.auth-retries,connection.read-only,connection.autoconnect-slaves,connection.gateway-ping-timeout,connection.mdns,connection.llmnr,connection.wait-device-timeout,802-11-wireless.channel,802-11-wireless.rate,802-11-wireless.tx-power,802-11-wireless.hidden,802-11-wireless.powersave,802-11-wireless.ap-isolation,802-11-wireless-security.wep-tx-keyidx,802-11-wireless-security.pmf,802-11-wireless-security.psk-flags,802-11-wireless-security.fils,ipv4.dns-priority,ipv4.route-metric,ipv4.route-table,ipv4.ignore-auto-routes,ipv4.ignore-auto-dns,ipv4.dhcp-timeout,ipv4.dhcp-send-hostname,ipv4.never-default,ipv4.may-fail,ipv4.dad-timeout,ipv6.route-metric,ipv6.ignore-auto-routes,ipv6.ignore-auto-dns,ipv6.never-default,ipv6.may-fail,ipv6.dhcp-timeout,GENERAL.DEFAULT,GENERAL.DEFAULT6,GENERAL.VPN,GENERAL.MTU,GENERAL.IP4-CONNECTIVITY,GENERAL.IP6-CONNECTIVITY,GENERAL.IS-SOFTWARE,GENERAL.NM-MANAGED,GENERAL.AUTOCONNECT,GENERAL.FIRMWARE-MISSING,GENERAL.NM-PLUGIN-MISSING,GENERAL.METERED,WIFI-PROPERTIES.WEP,WIFI-PROPERTIES.WPA,WIFI-PROPERTIES.WPA2,WIFI-PROPERTIES.TKIP,WIFI-PROPERTIES.CCMP,WIFI-PROPERTIES.AP,WIFI-PROPERTIES.ADHOC,WIFI-PROPERTIES.2GHZ,WIFI-PROPERTIES.5GHZ,WIFI-PROPERTIES.MESH,WIFI-PROPERTIES.IBSS-RSN,WE,Group Cipher,Pairwise Ciphers,Mode,connection.lldp,802-11-wireless.mode,802-11-wireless.mtu,802-11-wireless.wake-on-wlan,802-11-wireless-security.key-mgmt,802-11-wireless-security.auth-alg,ipv4.dhcp-hostname-flags,ipv6.method,GENERAL.STATE,label
24.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,2.412,1.0,off,0.0,yes,yes,yes,yes,no,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,CCMP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
24.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,2.437,6.0,off,1000.0,yes,yes,yes,yes,no,1.0,100.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,CCMP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
58.5,31,7,off,off,0.0,0.0,0.0,0.0,0.0,5.2,40.0,on,0.0,yes,yes,yes,yes,yes,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,TKIP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
12.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,5.2,40.0,on,0.0,yes,yes,yes,yes,yes,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,TKIP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,,0.0
24.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,2.437,6.0,off,0.0,yes,yes,yes,yes,no,1.0,100.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,CCMP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
27.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,5.2,40.0,on,0.0,yes,yes,yes,yes,yes,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,TKIP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
12.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,5.2,40.0,on,0.0,yes,yes,yes,yes,yes,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,TKIP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
39.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,2.412,1.0,off,0.0,yes,yes,yes,yes,no,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,CCMP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
27.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,5.2,40.0,on,0.0,yes,yes,yes,yes,yes,1.0,200.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,TKIP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
24.0,31,7,off,off,0.0,0.0,0.0,0.0,0.0,2.437,6.0,off,0.0,yes,yes,yes,yes,no,1.0,100.0,yes,yes,0.0,-1.0,0.0,-1.0,no,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,no,0.0,-1.0,0,0,0,0,0.0,-1.0,0.0,no,no,0.0,yes,no,yes,-1.0,-1.0,no,no,no,yes,0.0,yes,yes,no,1500,4,4,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,22,CCMP,CCMP,Managed,default,infrastructure,auto,0x1,wpa-psk,open,0x0,auto,activated,0.0
